dataset,seed,delta_semantic_alignment_j20,delta_transfer_j20,delta_rbo20,dataset_delta_ndcg10
CDs,42,0.01971158178807468,0.08272982685649295,0.104999192995829,0.05567988200917784
CDs,52,0.022153538920107213,0.07476786951222959,0.09152978287916835,0.05567988200917784
CDs,62,0.01933277817799061,0.07635619320350186,0.09902296734027069,0.05567988200917784
Scientific,42,0.040212572573190844,0.08902599699380821,0.09611499873025811,0.06602627630206642
Scientific,52,0.0360945631898191,0.0814042601420923,0.08352349104852383,0.06602627630206642
Scientific,62,0.03702616021704181,0.07988091583071626,0.08730537957655599,0.06602627630206642
