seed,model,pre_jaccard@10,pre_jaccard@20,pre_jaccard@30,pre_jaccard@40,pre_jaccard@50,post_jaccard@10,post_jaccard@20,post_jaccard@30,post_jaccard@40,post_jaccard@50,post_rbo@20
42,Pure-SI,0.02654945574721116,0.033327970562813974,0.039036299386554486,0.043797301858037825,0.048724341728160515,0.09139326445827993,0.11468030562736496,0.13270480057702078,0.14537004228012249,0.156034183317651,0.12716257076600648
42,w/o Item-CL,0.03742600515239834,0.04554934873152053,0.053316556100895154,0.060202515023842204,0.0670257282207911,0.17047684891647738,0.2006065851703254,0.21900474424593044,0.23300588754069615,0.24581948951960556,0.2416501624997541
42,w/o User-CL,0.041806924456692256,0.05373222494148394,0.06343773602054675,0.07201999844007495,0.07974236837781502,0.15084677048957235,0.18295842011508995,0.20926326176599785,0.2281301402657107,0.24378187921059527,0.20995967680036903
42,EchoRec,0.04336695103142472,0.053039552350888655,0.06163585476308289,0.0693208956645498,0.07677666575697059,0.1646440030128111,0.19741013248385791,0.21521720407447617,0.23165928505405856,0.24367489672134549,0.23216176376183548
42,w/o Match,0.04336695103142472,0.053039552350888655,0.06163585476308289,0.0693208956645498,0.07677666575697059,0.15168778160264226,0.18139589811688472,0.20095106502082044,0.21663897493778433,0.23018400244734966,0.21190850676359835
52,Pure-SI,0.027148556723634122,0.03289691170149807,0.038424166328239244,0.043104356232312895,0.04760965703257718,0.09280517281136476,0.11929536277965071,0.1349487422149039,0.14804999140004993,0.15876837016249448,0.13391556989900202
52,w/o Item-CL,0.0395182852493224,0.04716671446171338,0.053045461422777676,0.05952272712159239,0.06537004492450477,0.17206559904663618,0.19863675812386125,0.21669643741195033,0.2302319886257387,0.24184798766283164,0.23941897257480285
52,w/o User-CL,0.04475497850962247,0.05521519038609666,0.06373729461086403,0.07170274038372833,0.07886331458794055,0.1484186451233665,0.1845257219628611,0.20852302832421876,0.22711759509043497,0.24179338130979042,0.2075705132851956
52,EchoRec,0.045969177279548794,0.05505045062160528,0.06253022004311469,0.06946407479933919,0.07579768953394933,0.1603957934050813,0.1940632322918803,0.21357188103579408,0.22933574870839796,0.242050601484744,0.22544535277817038
52,w/o Match,0.045969177279548794,0.05505045062160528,0.06253022004311469,0.06946407479933919,0.07579768953394933,0.14331969535452507,0.178741129570939,0.1991655224830617,0.2156884424550978,0.2289808618716932,0.20137399187958996
62,Pure-SI,0.02668599572082544,0.033051226398645876,0.03762867603609944,0.04296596198334363,0.04741315927092891,0.08894044594895988,0.1124819789903909,0.12949303558902087,0.1428822979968295,0.1535910748874093,0.12816216320236837
62,w/o Item-CL,0.03954192466460268,0.04703032805073523,0.05330363288734613,0.060395724564053226,0.06600682741293085,0.17298267113863092,0.2000640110283424,0.21930468943160844,0.23398563990358462,0.2447433088574234,0.24144406685518385
62,w/o User-CL,0.044051042009246345,0.054701707535527104,0.06292392855680458,0.0715011668127662,0.07883817535233864,0.1575360703108381,0.18820009631303924,0.21362715826865403,0.23111986574410046,0.24642990986278362,0.2153862745829072
62,EchoRec,0.0453879197427959,0.052384004576636486,0.05989724084227302,0.06722588100133474,0.07384442345288961,0.1572307479672031,0.18883817219389276,0.20996366812409423,0.22835636906985585,0.24181877901425533,0.22718513054263906
62,w/o Match,0.0453879197427959,0.052384004576636486,0.05989724084227302,0.06722588100133474,0.07384442345288961,0.1465454709549137,0.18098646272181554,0.20162920497636008,0.21853348462423416,0.23154841277907495,0.21080352384478648
