seed,model,teacher_kind,pre_jaccard@10,pre_jaccard@20,pre_jaccard@30,pre_jaccard@40,pre_jaccard@50,post_jaccard@10,post_jaccard@20,post_jaccard@30,post_jaccard@40,post_jaccard@50,post_rbo@20
42,EchoRec,sacp,0.05838716464993555,0.0688298883262039,0.0784894292420918,0.08643315184964934,0.09462768070792008,0.13913173719984867,0.16701404856607832,0.18902108457394054,0.20713981384622115,0.22116344484236874,0.19387248901100113
42,Pure-SI,raw,0.022808669959211752,0.028617315753013055,0.034232863056768696,0.03943912975951431,0.04466291899419815,0.06361300262345154,0.07798805157227011,0.08901541900298088,0.09848920437627531,0.1077102444046642,0.09775749028074301
52,EchoRec,sacp,0.054266894612095856,0.06510119838447108,0.07435145276931786,0.08280822043674439,0.09080032190643683,0.13166003234811285,0.1617315092539899,0.1832310382993196,0.1998947431002529,0.21570296771182645,0.18608210413659715
52,Pure-SI,raw,0.0215368974850399,0.02900663519465198,0.035114956737497004,0.04025709701976452,0.0461336679634738,0.06517330936177686,0.0803272491118976,0.09273452617563148,0.10286839967048089,0.1105105433138426,0.10255861308807332
62,EchoRec,sacp,0.05177008367449544,0.062279979473957046,0.07229471195941059,0.0817068469417778,0.09106975650579108,0.13061591998472805,0.15869800253431265,0.18325701467719363,0.2030302233545275,0.21866533033767274,0.18562415095405266
62,Pure-SI,raw,0.018689972480220154,0.025253819256915236,0.03158431453427818,0.03774083815856491,0.044203282153735854,0.06201666354801029,0.0788170867035964,0.09183938392385924,0.10281044551055679,0.11325713062076496,0.09831877137749667
