model,pre_jaccard@20_mean,pre_jaccard@20_std,post_jaccard@20_mean,post_jaccard@20_std,post_rbo@20_mean,post_rbo@20_std,test_ndcg10,test_hr10,best_epoch
Pure-SI,0.03755852903262679,0.0010223054294180673,0.04652000879269453,0.0008628611256006198,0.04627040850220444,0.0003438583425607991,0.3657205333053667,0.5610605249062668,22.0
EchoRec,0.04707568280653098,0.00041625941636823897,0.10527014834369915,0.001645033027987777,0.12343539864686105,0.0037122570924828496,0.4087506784340829,0.6159614354579539,17.0
