seed,model,teacher_kind,pre_jaccard@20,post_jaccard@20,post_rbo@20
42,Pure-SI,raw,0.05293066134383747,0.07303339692522152,0.05248289781992585
42,EchoRec,sacp,0.06446564597292641,0.13777896641880427,0.1329785784024264
52,Pure-SI,raw,0.051224035755404976,0.071381821613971,0.0519584265226391
52,EchoRec,sacp,0.06583070875379915,0.14474123151743107,0.1360025324486645
62,Pure-SI,raw,0.053362134199668336,0.07095672700797008,0.051529228229173406
62,EchoRec,sacp,0.06506117579903042,0.13777017734406866,0.12730361025678597
