seed,model,teacher_kind,pre_jaccard@20,post_jaccard@20,post_rbo@20
42,Pure-SI,raw,0.07696601553631516,0.0890168188378656,0.07238804587451753
42,EchoRec,sacp,0.08643315184964934,0.20713981384622115,0.20450076007601928
52,Pure-SI,raw,0.07530121844996066,0.08873220559123891,0.07291211961628696
52,EchoRec,sacp,0.08280822043674439,0.1998947431002529,0.1967208707814093
62,Pure-SI,raw,0.0734643265459439,0.08724051822682084,0.06996329101256989
62,EchoRec,sacp,0.0817068469417778,0.2030302233545275,0.19631219740852227
