seed,model,teacher_kind,pre_jaccard@20,post_jaccard@20,post_rbo@20
42,Pure-SI,raw,0.045926523550309344,0.06120927306681914,0.0506758888205571
42,EchoRec,sacp,0.05570721021794266,0.12292870048363133,0.13044396893411447
52,Pure-SI,raw,0.04341161684808741,0.06013587076135871,0.050163730635184776
52,EchoRec,sacp,0.05690424836330668,0.12859936495908217,0.1332831913237389
62,Pure-SI,raw,0.04529488297180537,0.059758770765900526,0.04975434151286922
62,EchoRec,sacp,0.055129816639180394,0.12159602455757271,0.12460998701465786
