seed,model,teacher_kind,pre_jaccard@20,post_jaccard@20,post_rbo@20
42,Pure-SI,raw,0.03943912975951431,0.09848920437627531,0.10297478203196889
42,EchoRec,sacp,0.08643315184964934,0.20713981384622115,0.20450076007601928
52,Pure-SI,raw,0.04025709701976452,0.10286839967048089,0.10786254629799319
52,EchoRec,sacp,0.08280822043674439,0.1998947431002529,0.1967208707814093
62,Pure-SI,raw,0.03774083815856491,0.10281044551055679,0.10385758299706936
62,EchoRec,sacp,0.0817068469417778,0.2030302233545275,0.19631219740852227
