dataset,delta_prealign_j20,delta_transfer_j20,delta_rbo20,delta_ndcg10
Movies,0.022604336502329885,0.0523672153287781,0.06903270742553277,0.043030145128716224
Scientific,0.037777765326683935,0.08343705765553892,0.08898128978511262,0.06602627630206642
Electronics,0.03333399417666279,0.04349376517917988,0.04941277510815918,0.05761838784718243
CDs,0.020399299628724173,0.0779512965240748,0.09851731440508932,0.05567988200917784
