model,pre_jaccard@20_mean,pre_jaccard@20_std,post_jaccard@20_mean,post_jaccard@20_std,post_rbo@20_mean,post_rbo@20_std,test_ndcg10,test_hr10,best_epoch
Pure-SI,0.03091348469212246,0.0003889191986182742,0.03146806322619016,0.0007573514506847824,0.03849701807806283,5.555683724177967e-05,0.3657205333053667,0.5610605249062668,22.0
EchoRec,0.03806785755237768,0.0011450833917999595,0.08166291813621535,0.0022426797801783404,0.11041928617447938,0.004144352892323835,0.4087506784340829,0.6159614354579539,17.0
