seed,model,teacher_kind,pre_jaccard@20,post_jaccard@20,post_rbo@20
42,Pure-SI,raw,0.030536967418546366,0.03243363073974529,0.038533621698515444
42,EchoRec,sacp,0.038078787655413046,0.08134264488521455,0.11261879471191577
52,Pure-SI,raw,0.03144896555113273,0.031386691181195824,0.03853892402874643
52,EchoRec,sacp,0.039464795567349754,0.0845557251915611,0.11402432871215759
62,Pure-SI,raw,0.030754521106688287,0.03058386775762937,0.03841850850692661
62,EchoRec,sacp,0.03665998943437024,0.07909038433187039,0.1046147350993648
