seed,model,teacher_kind,pre_jaccard@20,post_jaccard@20,post_rbo@20
42,Pure-SI,raw,0.06818679635651019,0.07704337477928723,0.07042630965061461
42,EchoRec,sacp,0.0784894292420918,0.18902108457394054,0.2013623074292836
52,Pure-SI,raw,0.06564947452774293,0.07590490727103899,0.0709786382934598
52,EchoRec,sacp,0.07435145276931786,0.1832310382993196,0.19360106434219573
62,Pure-SI,raw,0.06378171672090505,0.07444899490386805,0.06801276276184674
62,EchoRec,sacp,0.07229471195941059,0.18325701467719363,0.19310254840368235
