seed,model,teacher_kind,pre_jaccard@20,post_jaccard@20,post_rbo@20
42,Pure-SI,raw,0.02597423706324635,0.020801986584107326,0.032998218951449755
42,EchoRec,sacp,0.03949921960564375,0.06555180608005685,0.08626710551710914
52,Pure-SI,raw,0.027505589955280355,0.020248538011695908,0.034077170050159034
52,EchoRec,sacp,0.04416432531177113,0.07140135926165336,0.09657139683417554
62,Pure-SI,raw,0.028858936557078968,0.023507586367880483,0.033628354040800376
62,EchoRec,sacp,0.04260226546759054,0.07209208966987604,0.09602020735929775
