model,pre_jaccard@10,pre_jaccard@20,pre_jaccard@30,pre_jaccard@40,pre_jaccard@50,post_jaccard@10,post_jaccard@20,post_jaccard@30,post_jaccard@40,post_jaccard@50,post_rbo@20,test_ndcg10,test_hr10
Pure-SI,0.02744625452520189,0.03384097452809249,0.040816313710256215,0.047736553492947593,0.054700227485501234,0.021519370321227905,0.029228956342446304,0.036976893956868734,0.04391687452879714,0.050195750013207786,0.03681997993624514,0.2736444015873868,0.4548
w/o Item-CL,0.02789081773060101,0.03528300750550533,0.04203522044550567,0.04839802254254184,0.05411219219875372,0.04559063398188785,0.061645547542406476,0.07479565910999397,0.08565080463600731,0.09548221198952465,0.06970188885520377,0.3101423889607374,0.4972
w/o User-CL,0.015600163052175436,0.021376695179537688,0.026651958779613984,0.031898275717022,0.037188407555843794,0.034258633165366904,0.04527694956321061,0.05417933007071529,0.06265276344617136,0.07029997769469147,0.053165110425620825,0.3024215343230055,0.4884
EchoRec,0.042088603461668476,0.04996783356282416,0.057028603998186156,0.06378345345244706,0.07008340483310639,0.06968175167052874,0.08498641250459332,0.09812024984504684,0.10806546535529206,0.1176990200712562,0.10355455436984758,0.3312627894345692,0.5216
w/o Match,0.042088603461668476,0.04996783356282416,0.057028603998186156,0.06378345345244706,0.07008340483310639,0.06524794326187515,0.08482179158815654,0.10033297979045543,0.11327570849110713,0.12512079321138891,0.09438103411052463,0.332654238512296,0.5266
