seed,model,pre_jaccard@10,pre_jaccard@20,pre_jaccard@30,pre_jaccard@40,pre_jaccard@50,post_jaccard@10,post_jaccard@20,post_jaccard@30,post_jaccard@40,post_jaccard@50,post_rbo@20
42,Pure-SI,0.02597423706324635,0.03397817598883584,0.041809590456871146,0.04871951878516589,0.05559321072016093,0.020801986584107326,0.028637004272952543,0.03614792896837384,0.04311380648872473,0.04921260774128862,0.036044876458809424
42,w/o Item-CL,0.026794652071354858,0.03445864601698139,0.04158676916556196,0.04733989356571853,0.05324591684060242,0.04342223583090456,0.05960261444130518,0.07360243779986217,0.08394803655436109,0.09399370280209647,0.06584701024941388
42,w/o User-CL,0.015792024367101764,0.021334983150420494,0.026732455284220046,0.03129062185258956,0.036329557808978286,0.03256364563369207,0.04261833983581703,0.05211304277845121,0.06054233304260584,0.06864759104015479,0.05118050814403681
42,EchoRec,0.03949921960564375,0.04795407878016607,0.05554073589215431,0.06202566132725337,0.06803114049136366,0.06555180608005685,0.0824099114201326,0.09495757525836539,0.10544109202780372,0.11462897866808493,0.09724532232141303
42,w/o Match,0.03949921960564375,0.04795407878016607,0.05554073589215431,0.06202566132725337,0.06803114049136366,0.06136666562711454,0.08364190739359098,0.09837128792519735,0.11147743305581949,0.12318534600398037,0.09101698200511452
52,Pure-SI,0.027505589955280355,0.033262319565725146,0.040239650003646606,0.04744542385944375,0.054726949485346905,0.020248538011695908,0.027499787636047997,0.03549837132752216,0.0421410627892887,0.048738039220432114,0.03660356926715505
52,w/o Item-CL,0.029760479630448672,0.03645326355499381,0.042833773569672724,0.04922572517512688,0.05487635040731223,0.04802914289872493,0.06368495939614348,0.07640269320433293,0.08765610352953924,0.09742531031679152,0.07403003860068975
52,w/o User-CL,0.015372929873703868,0.021391968895275802,0.026715135795893945,0.03253150804169747,0.03794589572402015,0.03475759014807002,0.04611906008779427,0.05503352339013382,0.06394317537624578,0.07177828276491398,0.05329185672803405
52,EchoRec,0.04416432531177113,0.05087486161103821,0.05832770305346805,0.06536216177460351,0.07152375205084942,0.07140135926165336,0.08485979087971196,0.09851610631060655,0.1083403691320617,0.11787656335970798,0.10658674673179402
52,w/o Match,0.04416432531177113,0.05087486161103821,0.05832770305346805,0.06536216177460351,0.07152375205084942,0.06556678366353288,0.08224521798641013,0.09834181168289285,0.11086216831612089,0.12267909125103947,0.09139026221176613
62,Pure-SI,0.028858936557078968,0.03428242802971647,0.04039970067025088,0.04704471783423315,0.05378052225099585,0.023507586367880483,0.03155007711833838,0.03928438157471021,0.04649575430837798,0.05263660307790265,0.037811494082770944
62,w/o Item-CL,0.027117321489999506,0.03493711294454079,0.04168511860128234,0.048628448886780105,0.0542143093483465,0.045320523216034046,0.06164906878977079,0.0743818463257868,0.08534827382412159,0.09502762284968597,0.0692286177155077
62,w/o User-CL,0.015635534915720672,0.02140313349291677,0.026508285258727966,0.03187269725677896,0.037289769134532934,0.035454663714338634,0.04709344876602054,0.05539142404356086,0.06347278191966249,0.07047405927900564,0.0550229664047916
62,EchoRec,0.04260226546759054,0.051074560297268194,0.05721737304893609,0.0639625372554843,0.07069532195710611,0.07209208966987604,0.0876895352139354,0.1008870679661686,0.11041493490601079,0.1205915181859757,0.10683159405633567
62,w/o Match,0.04260226546759054,0.051074560297268194,0.05721737304893609,0.0639625372554843,0.07069532195710611,0.06881038049497802,0.08857824938446854,0.1042858397632761,0.11748752410138101,0.1294979423791469,0.1007358581146933
