seed,model,teacher_kind,pre_jaccard@20,post_jaccard@20,post_rbo@20
42,Pure-SI,raw,0.05790511450687963,0.06250413620325192,0.06601693155074173
42,EchoRec,sacp,0.0688298883262039,0.16701404856607832,0.19387248901100113
52,Pure-SI,raw,0.0556749431509954,0.06232254924624069,0.06661064127112853
52,EchoRec,sacp,0.06510119838447108,0.1617315092539899,0.18608210413659715
62,Pure-SI,raw,0.054071754518021785,0.0591847127874977,0.06373775294278677
62,EchoRec,sacp,0.062279979473957046,0.15869800253431265,0.18562415095405266
