seed,model,teacher_kind,pre_jaccard@20,post_jaccard@20,post_rbo@20
42,Pure-SI,raw,0.02546626286835265,0.05225936982236293,0.05437271279890591
42,EchoRec,sacp,0.047357099685847316,0.10388609078214152,0.12465802672786827
52,Pure-SI,raw,0.02316937672127176,0.05346507426662837,0.05588570876819112
52,EchoRec,sacp,0.047382759200916724,0.10758158720054806,0.12724564140376302
62,Pure-SI,raw,0.02477839932297887,0.05298435495577186,0.05294965209688782
62,EchoRec,sacp,0.046487189532828904,0.1043427670484079,0.1184025278089519
