seed,model,teacher_kind,pre_jaccard@20,post_jaccard@20,post_rbo@20
42,Pure-SI,raw,0.03888820124826678,0.04773169510498827,0.04670652314227046
42,EchoRec,sacp,0.047357099685847316,0.10388609078214152,0.12465802672786827
52,Pure-SI,raw,0.03640212254760454,0.046039290348571904,0.0462386596767793
52,EchoRec,sacp,0.047382759200916724,0.10758158720054806,0.12724564140376302
62,Pure-SI,raw,0.03738526330200904,0.04578904092452342,0.04586604268756355
62,EchoRec,sacp,0.046487189532828904,0.1043427670484079,0.1184025278089519
