model,pre_jaccard@10_mean,pre_jaccard@10_std,pre_jaccard@20_mean,pre_jaccard@20_std,pre_jaccard@30_mean,pre_jaccard@30_std,pre_jaccard@40_mean,pre_jaccard@40_std,pre_jaccard@50_mean,pre_jaccard@50_std,post_jaccard@10_mean,post_jaccard@10_std,post_jaccard@20_mean,post_jaccard@20_std,post_jaccard@30_mean,post_jaccard@30_std,post_jaccard@40_mean,post_jaccard@40_std,post_jaccard@50_mean,post_jaccard@50_std,post_rbo@20_mean,post_rbo@20_std,test_ndcg10,test_hr10,best_epoch
Pure-SI,0.03091348469212246,0.0003889191986182742,0.03755852903262679,0.0010223054294180673,0.04487767445673404,0.0010682497020847426,0.05250561043297026,0.0009231711459103465,0.059553366516643426,0.0008756730963509722,0.03146806322619016,0.0007573514506847824,0.04652000879269453,0.0008628611256006198,0.060367971531359456,0.0006144874866199498,0.07179064851572087,0.0008957284048936854,0.08172152671131773,0.0006136916463562142,0.04627040850220444,0.0003438583425607991,0.3657205333053667,0.5610605249062668,22.0
w/o Item-CL,0.03150057128114404,0.0017733057625762144,0.03867078063490601,0.001225077020904971,0.046673861154315134,0.0008990987283390756,0.054118001825200567,0.00013291159458300592,0.061723072673674474,0.00022602527934201122,0.06164875880626655,0.0017063719932240522,0.08307271943936753,0.002611805676598112,0.10059409827428777,0.003030690721517415,0.11607343987227603,0.003004076663734099,0.12940041367804067,0.0035455956012427027,0.09256656527450646,0.0027785228657172885,0.3944987650678639,0.5974825923942153,7.0
w/o User-CL,0.035454991645781114,0.0018725502277384353,0.04714855178192495,0.0006552226335433493,0.05727569481386854,0.0003099803910866221,0.06738107718025856,0.0002846957255951106,0.07630318261384199,0.000707895960679745,0.074561675209895,0.0012781425334498608,0.09953377945098207,0.002157257915217825,0.11945242272327716,0.00236783364433482,0.13744842546391098,0.003283746985219667,0.15284406671273854,0.003075951977995521,0.11061203999091684,0.002818772778269749,0.4071538273976983,0.6138189608998393,13.0
EchoRec,0.03806785755237768,0.0011450833917999595,0.04707568280653098,0.00041625941636823897,0.055913758406809906,0.0007389851607169135,0.06511917684191866,0.0005587916664035581,0.07367059414601697,0.0005900095233605973,0.08166291813621535,0.0022426797801783404,0.10527014834369915,0.001645033027987777,0.12437469666676208,0.003036431339151842,0.14009679176010134,0.0032841168073580555,0.15383502358944692,0.00428331965467794,0.12343539864686105,0.0037122570924828496,0.4087506784340829,0.6159614354579539,17.0
w/o Match,0.03806785755237768,0.0011450833917999595,0.04707568280653098,0.00041625941636823897,0.055913758406809906,0.0007389851607169135,0.06511917684191866,0.0005587916664035581,0.07367059414601697,0.0005900095233605973,0.0734498551557375,0.002068678899802903,0.0998594703512427,0.001003050503144131,0.12114272701001427,0.001615838707804332,0.13822695358565854,0.0020800159436977998,0.15321479302932353,0.0030099459564824835,0.10968451122709877,0.005037868818603242,0.3986488170156821,0.6012319228709159,9.0
