model,pre_jaccard@10,pre_jaccard@20,pre_jaccard@30,pre_jaccard@40,pre_jaccard@50,post_jaccard@10,post_jaccard@20,post_jaccard@30,post_jaccard@40,post_jaccard@50,post_rbo@20,test_ndcg10,test_hr10
Pure-SI,0.03091348469212246,0.03755852903262679,0.04487767445673404,0.05250561043297026,0.059553366516643426,0.03146806322619016,0.04652000879269453,0.060367971531359456,0.07179064851572087,0.08172152671131773,0.04627040850220444,0.3657205333053667,0.5610605249062668
w/o Item-CL,0.03150057128114404,0.03867078063490601,0.046673861154315134,0.054118001825200567,0.061723072673674474,0.06164875880626655,0.08307271943936753,0.10059409827428777,0.11607343987227603,0.12940041367804067,0.09256656527450646,0.3944987650678639,0.5974825923942153
w/o User-CL,0.035454991645781114,0.04714855178192495,0.05727569481386854,0.06738107718025856,0.07630318261384199,0.074561675209895,0.09953377945098207,0.11945242272327716,0.13744842546391098,0.15284406671273854,0.11061203999091684,0.4071538273976983,0.6138189608998393
EchoRec,0.03806785755237768,0.04707568280653098,0.055913758406809906,0.06511917684191866,0.07367059414601697,0.08166291813621535,0.10527014834369915,0.12437469666676208,0.14009679176010134,0.15383502358944692,0.12343539864686105,0.4087506784340829,0.6159614354579539
w/o Match,0.03806785755237768,0.04707568280653098,0.055913758406809906,0.06511917684191866,0.07367059414601697,0.0734498551557375,0.0998594703512427,0.12114272701001427,0.13822695358565854,0.15321479302932353,0.10968451122709877,0.3986488170156821,0.6012319228709159
