seed,model,pre_jaccard@10,pre_jaccard@20,pre_jaccard@30,pre_jaccard@40,pre_jaccard@50,post_jaccard@10,post_jaccard@20,post_jaccard@30,post_jaccard@40,post_jaccard@50,post_rbo@20
42,Pure-SI,0.030536967418546366,0.03888820124826678,0.045926523550309344,0.05293066134383747,0.059580540228110525,0.03243363073974529,0.04773169510498827,0.06120927306681914,0.07303339692522152,0.08258853313429854,0.04670652314227046
42,w/o Item-CL,0.032890129736104966,0.039907530018286036,0.047391237900177574,0.054135632003181874,0.06151733481828437,0.05971301415302963,0.08077925524128562,0.09759207024091426,0.11307911089360079,0.12577911184646756,0.09017379318846898
42,w/o User-CL,0.03754832547053909,0.047602868153864365,0.057707477548862254,0.06748385446623006,0.0763858873068412,0.07576135096413733,0.10027560384419915,0.12002351068554203,0.13792853593868432,0.15245490681973944,0.1097825657337595
42,EchoRec,0.038078787655413046,0.047357099685847316,0.05570721021794266,0.06446564597292641,0.07335321115471254,0.08134264488521455,0.10388609078214152,0.12292870048363133,0.13777896641880427,0.1499970054714193,0.12465802672786827
42,w/o Match,0.038078787655413046,0.047357099685847316,0.05570721021794266,0.06446564597292641,0.07335321115471254,0.0728957333945724,0.09947399042350563,0.12053713612793528,0.1372653608738142,0.15133988817961364,0.10774031484973418
52,Pure-SI,0.03144896555113273,0.03640212254760454,0.04341161684808741,0.051224035755404976,0.058467561749493,0.031386691181195824,0.046039290348571904,0.06013587076135871,0.071381821613971,0.08125409634118391,0.0462386596767793
52,w/o Item-CL,0.032613764804167285,0.039103147958534666,0.0472243458882911,0.054271251910075716,0.06203780262066534,0.06386452036955133,0.08672690239885472,0.10474435749279472,0.12018062550673622,0.13421464612839748,0.09646225961432656
52,w/o User-CL,0.03581300678166003,0.04762080229257124,0.05712541226139167,0.06699256080721425,0.07539780191882772,0.07513275836650447,0.10172566162700196,0.12202438607466079,0.14120857170187756,0.15679079761431206,0.11440349139609737
52,EchoRec,0.039464795567349754,0.047382759200916724,0.05690424836330668,0.06583070875379915,0.07449758040007097,0.0845557251915611,0.10758158720054806,0.12859936495908217,0.14474123151743107,0.15981265970579114,0.12724564140376302
52,w/o Match,0.039464795567349754,0.047382759200916724,0.05690424836330668,0.06583070875379915,0.07449758040007097,0.07621465806295527,0.10123446214394059,0.12335375379371513,0.14111528064365939,0.15746180899712772,0.11659253888679602
62,Pure-SI,0.030754521106688287,0.03738526330200904,0.04529488297180537,0.053362134199668336,0.060611997572326756,0.03058386775762937,0.04578904092452342,0.059758770765900526,0.07095672700797008,0.08132195065847073,0.04586604268756355
62,w/o Item-CL,0.02899781930315986,0.037001663927897326,0.04540599967447672,0.05394712156234409,0.06161408058207371,0.06136874189621868,0.08171200067796225,0.09944586708915433,0.11496058321649107,0.12820748305925703,0.09106364302072387
62,w/o User-CL,0.033003642685144226,0.046221984899339257,0.05699419463135167,0.06766681626733137,0.07712585861585705,0.07279091629904323,0.09660007288174507,0.11630937140962869,0.133208168751171,0.1492864957041641,0.10765006284289366
62,EchoRec,0.03665998943437024,0.046487189532828904,0.055129816639180394,0.06506117579903042,0.07316099088326743,0.07909038433187039,0.1043427670484079,0.12159602455757271,0.13777017734406866,0.1516954055911304,0.1184025278089519
62,w/o Match,0.03665998943437024,0.046487189532828904,0.055129816639180394,0.06506117579903042,0.07316099088326743,0.07123917400968484,0.09886995848628183,0.11953729110839237,0.13630021923950203,0.1508426819112293,0.10472067994476608
