dataset,delta_prealign_j20,delta_transfer_j20,delta_rbo20,delta_ndcg10
Scientific,0.037777765326683935,0.08343705765553892,0.08898128978511262,0.06602627630206642
CDs,0.020399299628724173,0.0779512965240748,0.09851731440508932,0.05567988200917784
