seed,model,teacher_kind,pre_jaccard@20,post_jaccard@20,post_rbo@20
42,Pure-SI,raw,0.03397817598883584,0.028637004272952543,0.036044876458809424
42,EchoRec,sacp,0.04795407878016607,0.0824099114201326,0.09724532232141303
52,Pure-SI,raw,0.033262319565725146,0.027499787636047997,0.03660356926715505
52,EchoRec,sacp,0.05087486161103821,0.08485979087971196,0.10658674673179402
62,Pure-SI,raw,0.03428242802971647,0.03155007711833838,0.037811494082770944
62,EchoRec,sacp,0.051074560297268194,0.0876895352139354,0.10683159405633567
