seed,model,teacher_kind,pre_jaccard@20,post_jaccard@20,post_rbo@20
42,Pure-SI,raw,0.015401428339508834,0.039801236733835565,0.051351979066178687
42,EchoRec,sacp,0.04795407878016607,0.0824099114201326,0.09724532232141303
52,Pure-SI,raw,0.016981855805385217,0.04202728816035139,0.054473868487421404
52,EchoRec,sacp,0.05087486161103821,0.08485979087971196,0.10658674673179402
62,Pure-SI,raw,0.01751823401359005,0.04264941708205336,0.0565994902314651
62,EchoRec,sacp,0.051074560297268194,0.0876895352139354,0.10683159405633567
