seed,model,teacher_kind,pre_jaccard@20,post_jaccard@20,post_rbo@20
42,Pure-SI,raw,0.028617315753013055,0.07798805157227011,0.09775749028074301
42,EchoRec,sacp,0.0688298883262039,0.16701404856607832,0.19387248901100113
52,Pure-SI,raw,0.02900663519465198,0.0803272491118976,0.10255861308807332
52,EchoRec,sacp,0.06510119838447108,0.1617315092539899,0.18608210413659715
62,Pure-SI,raw,0.025253819256915236,0.0788170867035964,0.09831877137749667
62,EchoRec,sacp,0.062279979473957046,0.15869800253431265,0.18562415095405266
