seed,model,teacher_kind,pre_jaccard@20,post_jaccard@20,post_rbo@20
42,Pure-SI,raw,0.08533153151876618,0.09998774237042156,0.07322533233644817
42,EchoRec,sacp,0.09462768070792008,0.22116344484236874,0.2057747726040335
52,Pure-SI,raw,0.08235745538174201,0.09915085968196759,0.07373570364846695
52,EchoRec,sacp,0.09080032190643683,0.21570296771182645,0.19799011270917743
62,Pure-SI,raw,0.08232497819929199,0.09950246935984092,0.07080315470831591
62,EchoRec,sacp,0.09106975650579108,0.21866533033767274,0.19762321546172343
