model,pre_jaccard@10,pre_jaccard@20,pre_jaccard@30,pre_jaccard@40,pre_jaccard@50,post_jaccard@10,post_jaccard@20,post_jaccard@30,post_jaccard@40,post_jaccard@50,post_rbo@20,test_ndcg10,test_hr10
Pure-SI,0.04709058357936067,0.0558839373919656,0.06587266253505272,0.07524385351073991,0.08333798836660007,0.04387786506865454,0.061337132745663436,0.07579909231806477,0.08832984755197511,0.09954702380407669,0.06545510858821901,0.3137168779068182,0.522
w/o Item-CL,0.04488320411385427,0.05476026214249411,0.06405462342573809,0.07222498154287176,0.08010135033595941,0.08676096569982017,0.1120745145920529,0.13040664412725725,0.14656262478853302,0.1607386306316539,0.12323438526052949,0.3777012957948171,0.5844
w/o User-CL,0.041078328362384085,0.05190788353383088,0.06214172069420665,0.07101895784270024,0.07959339366059281,0.10671875775010449,0.13305236831297831,0.15106426492665279,0.16598473511650447,0.1784878009760005,0.15023403534823723,0.3787100215249229,0.5958
EchoRec,0.05480804764550895,0.06540368872821069,0.07504519799027341,0.08364940640939052,0.09216591970671599,0.1338025631775632,0.16248118678479362,0.1851697125168179,0.2033549267670005,0.218510580963956,0.18852624803388363,0.3797431542088846,0.595
w/o Match,0.05480804764550895,0.06540368872821069,0.07504519799027341,0.08364940640939052,0.09216591970671599,0.15114404114404115,0.1907425456901393,0.22079227237215307,0.24213951630859132,0.26077757983501587,0.20105179959489372,0.3887751866748244,0.6136
