model,pre_jaccard@10_mean,pre_jaccard@10_std,pre_jaccard@20_mean,pre_jaccard@20_std,pre_jaccard@30_mean,pre_jaccard@30_std,pre_jaccard@40_mean,pre_jaccard@40_std,pre_jaccard@50_mean,pre_jaccard@50_std,post_jaccard@10_mean,post_jaccard@10_std,post_jaccard@20_mean,post_jaccard@20_std,post_jaccard@30_mean,post_jaccard@30_std,post_jaccard@40_mean,post_jaccard@40_std,post_jaccard@50_mean,post_jaccard@50_std,post_rbo@20_mean,post_rbo@20_std,test_ndcg10,test_hr10,best_epoch
Pure-SI,0.04709058357936067,0.0013981253389711806,0.0558839373919656,0.0015719247534181542,0.06587266253505272,0.0018052776912820501,0.07524385351073991,0.0014301339094669127,0.08333798836660007,0.0014097102341749299,0.04387786506865454,0.0011541231592105722,0.061337132745663436,0.0015237950896739788,0.07579909231806477,0.0010617907319554415,0.08832984755197511,0.0007789865035286316,0.09954702380407669,0.000343105408909425,0.06545510858821901,0.0012383068057348662,0.3137168779068182,0.522,3.0
w/o Item-CL,0.04488320411385427,0.0029953472367821588,0.05476026214249411,0.002622543765145963,0.06405462342573809,0.0026541125516468195,0.07222498154287176,0.0018362130470822556,0.08010135033595941,0.0013895380835003415,0.08676096569982017,0.0043052092491202894,0.1120745145920529,0.004703967930487715,0.13040664412725725,0.004183067812320778,0.14656262478853302,0.003937356854700001,0.1607386306316539,0.0037631673361621957,0.12323438526052949,0.005730573296884195,0.3777012957948171,0.5844,5.0
w/o User-CL,0.041078328362384085,0.0028014492299528347,0.05190788353383088,0.0036980197044237943,0.06214172069420665,0.0033615971240369942,0.07101895784270024,0.0030593303492834887,0.07959339366059281,0.002480259339265017,0.10671875775010449,0.002043413821480636,0.13305236831297831,0.002151642602393596,0.15106426492665279,0.0009008104865093004,0.16598473511650447,0.001160484195435158,0.1784878009760005,0.0010342823897405116,0.15023403534823723,0.004282533020780579,0.3787100215249229,0.5958,10.0
EchoRec,0.05480804764550895,0.0027283786532251468,0.06540368872821069,0.002682530123997021,0.07504519799027341,0.0025761201287706984,0.08364940640939052,0.002019106221570178,0.09216591970671599,0.0017441997536825273,0.1338025631775632,0.0037923268562273706,0.16248118678479362,0.003436147814123188,0.1851697125168179,0.0027233519462653024,0.2033549267670005,0.002966685777999299,0.218510580963956,0.002231914447254216,0.18852624803388363,0.0037849834626154113,0.3797431542088846,0.595,10.0
w/o Match,0.05480804764550895,0.0027283786532251468,0.06540368872821069,0.002682530123997021,0.07504519799027341,0.0025761201287706984,0.08364940640939052,0.002019106221570178,0.09216591970671599,0.0017441997536825273,0.15114404114404115,0.0022482437598062943,0.1907425456901393,0.0026952324816986654,0.22079227237215307,0.002687211117957295,0.24213951630859132,0.0018737509729774488,0.26077757983501587,0.00138569675676742,0.20105179959489372,0.0028994234156009767,0.3887751866748244,0.6136,11.0
