seed,model,pre_jaccard@10,pre_jaccard@20,pre_jaccard@30,pre_jaccard@40,pre_jaccard@50,post_jaccard@10,post_jaccard@20,post_jaccard@30,post_jaccard@40,post_jaccard@50,post_rbo@20
42,Pure-SI,0.04872239800103577,0.05790511450687963,0.06818679635651019,0.07696601553631516,0.08533153151876618,0.04452850026650336,0.06250413620325192,0.07704337477928723,0.0890168188378656,0.09998774237042156,0.06601693155074173
42,w/o Item-CL,0.0486914311608584,0.05823392136756229,0.06756397103598358,0.07463612618645195,0.08203887863248019,0.09150579550308652,0.1177247966447482,0.13571993273877997,0.15192444137486322,0.16583057490634348,0.12829613355223382
42,w/o User-CL,0.044357318635956405,0.05599486141851412,0.06605191841770656,0.0746631387622946,0.08271141684062283,0.1078072481354215,0.13486814470003883,0.1522427239754025,0.16618999550783844,0.17769406199526097,0.1546498323484861
42,EchoRec,0.05838716464993555,0.0688298883262039,0.0784894292420918,0.08643315184964934,0.09462768070792008,0.13913173719984867,0.16701404856607832,0.18902108457394054,0.20713981384622115,0.22116344484236874,0.19387248901100113
42,w/o Match,0.05838716464993555,0.0688298883262039,0.0784894292420918,0.08643315184964934,0.09462768070792008,0.15431322031941228,0.19431150542605552,0.22457070777993227,0.24464399544040838,0.26225106660394765,0.20514760996801767
52,Pure-SI,0.04724163963831147,0.0556749431509954,0.06564947452774293,0.07530121844996066,0.08235745538174201,0.044848890703379864,0.06232254924624069,0.07590490727103899,0.08873220559123891,0.09915085968196759,0.06661064127112853
52,w/o Item-CL,0.04458570587479256,0.05414898678952865,0.06345313202945703,0.07185445632287504,0.0794166851200847,0.08769266681031386,0.11229021324913603,0.13000251121585302,0.14518262412959693,0.15953288990251036,0.126184681942157
52,w/o User-CL,0.041364539270499025,0.05269025435960275,0.06252825975469248,0.07121657338824611,0.07942577639700492,0.10849285282141317,0.13425908786482257,0.15005597096603618,0.16447196787764123,0.17782067144596098,0.1516158006555687
52,EchoRec,0.054266894612095856,0.06510119838447108,0.07435145276931786,0.08280822043674439,0.09080032190643683,0.13166003234811285,0.1617315092539899,0.1832310382993196,0.1998947431002529,0.21570296771182645,0.18608210413659715
52,w/o Match,0.054266894612095856,0.06510119838447108,0.07435145276931786,0.08280822043674439,0.09080032190643683,0.14978109884611432,0.19011707919490903,0.21925551004223368,0.24013754194168943,0.25892197059223143,0.1991719338529884
62,Pure-SI,0.04530771309873476,0.054071754518021785,0.06378171672090505,0.0734643265459439,0.08232497819929199,0.04225620423608039,0.0591847127874977,0.07444899490386805,0.08724051822682084,0.09950246935984092,0.06373775294278677
62,w/o Item-CL,0.041372475305911836,0.05189787827039142,0.06114676721177363,0.07018436211928826,0.07884848725531335,0.08108443478606017,0.10620853388227448,0.12549748842713881,0.14258080886113889,0.15685242708610786,0.11522234028719762
62,w/o User-CL,0.03751312718069684,0.04703853482337574,0.0578449839102209,0.06717716137756,0.07664298774415067,0.1038561722934788,0.1300298723740736,0.15089409983851967,0.16729224196403372,0.17994866948677957,0.14443647304065688
62,EchoRec,0.05177008367449544,0.062279979473957046,0.07229471195941059,0.0817068469417778,0.09106975650579108,0.13061591998472805,0.15869800253431265,0.18325701467719363,0.2030302233545275,0.21866533033767274,0.18562415095405266
62,w/o Match,0.05177008367449544,0.062279979473957046,0.07229471195941059,0.0817068469417778,0.09106975650579108,0.14933780426659685,0.18779905244945336,0.21855059929429335,0.24163701154367614,0.2611597023088684,0.1988358549636751
