model,pre_jaccard@20_mean,pre_jaccard@20_std,post_jaccard@20_mean,post_jaccard@20_std,post_rbo@20_mean,post_rbo@20_std,test_ndcg10,test_hr10,best_epoch
Pure-SI,0.0558839373919656,0.0015719247534181542,0.061337132745663436,0.0015237950896739788,0.06545510858821901,0.0012383068057348662,0.3137168779068182,0.522,3.0
EchoRec,0.06540368872821069,0.002682530123997021,0.16248118678479362,0.003436147814123188,0.18852624803388363,0.0037849834626154113,0.3797431542088846,0.595,10.0
