seed,model,teacher_kind,pre_jaccard@20,post_jaccard@20,post_rbo@20
42,Pure-SI,raw,0.033327970562813974,0.11468030562736496,0.12716257076600648
42,EchoRec,sacp,0.053039552350888655,0.19741013248385791,0.23216176376183548
52,Pure-SI,raw,0.03289691170149807,0.11929536277965071,0.13391556989900202
52,EchoRec,sacp,0.05505045062160528,0.1940632322918803,0.22544535277817038
62,Pure-SI,raw,0.033051226398645876,0.1124819789903909,0.12816216320236837
62,EchoRec,sacp,0.052384004576636486,0.18883817219389276,0.22718513054263906
