seed,model,teacher_kind,pre_jaccard@20,post_jaccard@20,post_rbo@20
42,Pure-SI,raw,0.04466291899419815,0.1077102444046642,0.10365214952272155
42,EchoRec,sacp,0.09462768070792008,0.22116344484236874,0.2057747726040335
52,Pure-SI,raw,0.0461336679634738,0.1105105433138426,0.10854233944035853
52,EchoRec,sacp,0.09080032190643683,0.21570296771182645,0.19799011270917743
62,Pure-SI,raw,0.044203282153735854,0.11325713062076496,0.10458337756645845
62,EchoRec,sacp,0.09106975650579108,0.21866533033767274,0.19762321546172343
