seed,model,teacher_kind,pre_jaccard@20,post_jaccard@20,post_rbo@20
42,Pure-SI,raw,0.022808669959211752,0.06361300262345154,0.08993238819375565
42,EchoRec,sacp,0.05838716464993555,0.13913173719984867,0.17600882601855045
52,Pure-SI,raw,0.0215368974850399,0.06517330936177686,0.09510999965423202
52,EchoRec,sacp,0.054266894612095856,0.13166003234811285,0.16792536296283903
62,Pure-SI,raw,0.018689972480220154,0.06201666354801029,0.09071660998019969
62,EchoRec,sacp,0.05177008367449544,0.13061591998472805,0.16814904617084536
