seed,model,teacher_kind,pre_jaccard@20,post_jaccard@20,post_rbo@20
42,Pure-SI,raw,0.034232863056768696,0.08901541900298088,0.10138171009030253
42,EchoRec,sacp,0.0784894292420918,0.18902108457394054,0.2013623074292836
52,Pure-SI,raw,0.035114956737497004,0.09273452617563148,0.10622567756199143
52,EchoRec,sacp,0.07435145276931786,0.1832310382993196,0.19360106434219573
62,Pure-SI,raw,0.03158431453427818,0.09183938392385924,0.10213989544115716
62,EchoRec,sacp,0.07229471195941059,0.18325701467719363,0.19310254840368235
