seed,model,teacher_kind,pre_jaccard@20,post_jaccard@20,post_rbo@20
42,Pure-SI,raw,0.041809590456871146,0.03614792896837384,0.03795860305454376
42,EchoRec,sacp,0.05554073589215431,0.09495757525836539,0.1019554460431608
52,Pure-SI,raw,0.040239650003646606,0.03549837132752216,0.03839845037008317
52,EchoRec,sacp,0.05832770305346805,0.09851610631060655,0.11089157034224732
62,Pure-SI,raw,0.04039970067025088,0.03928438157471021,0.04000847562812116
62,EchoRec,sacp,0.05721737304893609,0.1008870679661686,0.11156580888964013
