model,pre_jaccard@20_mean,pre_jaccard@20_std,post_jaccard@20_mean,post_jaccard@20_std,post_rbo@20_mean,post_rbo@20_std,test_ndcg10,test_hr10,best_epoch
Pure-SI,0.040816313710256215,0.000705385509488526,0.036976893956868734,0.0016530488220388375,0.03878850968424936,0.0008811371794077848,0.2736444015873868,0.4548,5.0
EchoRec,0.057028603998186156,0.001145577526970878,0.09812024984504684,0.002436835064719117,0.10813760842501607,0.004380106405969117,0.3312627894345692,0.5216,8.0
